생태구명	정점명	관측년도	관측월	조사일자	날씨	수심	투명도(m)	수온(℃) 표층	수온(℃) 저층	염분 표층	염분 저층	수소이온농도 표층	수소이온농도 저층	용존산소량(㎎/L) 표층	용존산소량(㎎/L) 저층	화학적산소요구량(㎎/L) 표층	화학적산소요구량(㎎/L) 저층	암모니아성질소(㎍/L) 표층	암모니아성질소(㎍/L) 저층	아질산성질소(㎍/L) 표층	아질산성질소(㎍/L) 저층	질산성질소(㎍/L) 표층	질산성질소(㎍/L) 저층	용존무기질소(㎍/L) 표층	용존무기질소(㎍/L) 저층	총질소(㎍/L) 표층	총질소(㎍/L) 저층	용존무기인(㎍/L) 표층	용존무기인(㎍/L) 저층	총인(㎍/L) 표층	총인(㎍/L) 저층	규산규소(㎍/L) 표층	규산규소(㎍/L) 저층	부유물질(㎎/L) 표층	부유물질(㎎/L) 저층	클로로필a(㎍/L) 표층	클로로필a(㎍/L) 저층	WQI등급
대한해협	울산2	2020	11	2020-11-02	맑음	31	11.5	16.45	15.49	33.93	33.78	8.20	8.19	7.62	7.66	0.77	1.48	4.40	12.40	6.70	7.20	69.40	94.10	80.50	113.80			12.30	15.00	23.50		277.80	325.20	3.10	6.90	1.01	1.88	1
대한해협	울산3	2020	11	2020-11-03	맑음	13	4.5	13.77	14.59	33.14	33.44	8.16	8.18	8.24	8.09	0.98	1.62	55.10	36.80	8.80	8.10	145.30	120.50	209.20	165.50			24.40	20.40	40.50		404.50	360.90	6.20	5.30	2.28	2.32	1
대한해협	울산4	2020	11	2020-11-03	맑음	10	3.0	12.53	13.70	32.38	33.05	8.12	8.10	8.05	7.89	1.49	1.93	102.30	90.10	10.30	9.60	201.20	164.60	313.70	264.30			34.50	31.50	61.20		518.80	480.60	20.30	22.50	6.38	3.86	2
대한해협	울산5	2020	11	2020-11-03	맑음	9	3.5	13.76	13.97	32.99	33.09	8.16	8.16	8.13	8.11	1.61	1.86	66.10	65.60	9.40	9.30	160.30	155.90	235.80	230.80			27.80	26.90	45.90		424.30	414.10	9.80	8.20	1.91	1.64	1
대한해협	울산6	2020	11	2020-11-03	맑음	11	3.0	13.48	14.36	32.52	33.39	8.13	8.14	8.18	7.94	2.01	1.61	94.80	45.10	9.90	8.60	192.40	136.10	297.00	189.80			32.40	23.70	52.60		494.20	403.00	6.80	6.00	2.58	2.20	2
대한해협	울산7	2020	11	2020-11-02	맑음	10	3.0	13.73	14.01	32.82	33.19	8.15	8.14	8.04	7.68	1.97	1.77	100.10	60.20	9.60	8.50	164.50	136.20	274.20	204.90			26.40	24.10	45.80		455.40	419.20	9.00	12.50	3.00	2.42	2
대한해협	울산8	2020	11	2020-11-02	맑음	6	2.5	13.93	13.88	31.07	32.93	8.13	8.11	7.69	7.84	2.49	1.30	255.80	176.40	12.80	11.40	229.80	201.60	498.40	389.40			30.20	29.30	56.50		531.60	501.70	6.50	4.60	3.75	3.45	2
대한해협	울산9	2020	11	2020-11-03	맑음	21	6.0	16.72	15.80	34.05	33.91	8.21	8.20	7.66	7.74	1.46	1.45	6.60	12.20	6.80	7.00	63.00	78.50	76.40	97.60			11.70	13.70	21.60		255.90	295.40	4.50	5.10	0.81	1.20	1
대한해협	울산10	2020	11	2020-11-02	맑음	20	5.0	15.92	15.18	33.85	33.74	8.19	8.17	7.64	7.49	2.50	1.57	33.70	16.70	6.80	7.40	86.30	104.60	126.80	128.60			14.00	16.60	25.90		299.30	345.40	3.40	5.90	1.44	1.73	1
대한해협	울산11	2020	11	2020-11-02	맑음	10	1.1	14.28	14.35	32.45	33.24	8.15	8.15	7.92	7.57	1.67	1.77	45.40	32.90	10.80	10.40	198.30	170.10	254.50	213.40			24.20	22.80	45.20		415.30	400.80	12.90	12.80	3.08	2.90	3
대한해협	울산12	2020	11	2020-11-03	맑음	21	5.5	14.93	15.05	33.67	33.73	8.16	8.18	7.80	7.64	1.49	1.67	21.30	20.30	7.80	7.70	117.20	110.40	146.30	138.50			17.40	17.00	30.30		348.10	345.20	7.20	5.40	1.74	1.49	1
대한해협	온산1	2020	11	2020-11-02	맑음	13	4.5	14.23	14.91	33.02	33.55	8.16	8.16	8.07	7.88	0.93	0.98	33.30	24.70	11.00	9.60	196.80	147.60	241.10	181.90			24.00	20.40	39.90		407.20	375.10	5.30	3.10	2.28	2.40	1
대한해협	온산2	2020	11	2020-11-03	맑음	9	5.0	14.79	15.11	33.39	33.79	8.18	8.18	7.64	7.67	0.73	0.65	16.20	15.20	7.40	7.50	102.70	103.60	126.30	126.40			16.40	15.70	28.40		337.40	337.20	7.40	4.80	1.47	1.35	1
대한해협	온산4	2020	11	2020-11-02	맑음	10	3.7	13.90	13.88	32.95	33.10	8.16	8.15	8.21	7.86	1.08	0.90	33.00	32.50	12.60	12.80	221.90	215.70	267.50	261.00			25.30	24.30	41.40		419.60	425.00	3.20	4.00	2.50	2.20	2
대한해협	온산5	2020	11	2020-11-02	맑음	10	3.5	13.94	13.88	33.00	33.01	8.16	8.16	7.74	8.20	1.06	1.32	30.80	29.80	12.30	12.40	212.60	212.20	255.60	254.30			24.40	24.40	39.50		415.70	417.70	2.10	3.80	2.66	2.74	2
대한해협	온산6	2020	11	2020-11-02	맑음	15	3.7	14.09	14.88	33.12	33.52	8.16	8.17	8.09	7.87	0.87	1.09	27.40	25.00	11.10	9.50	183.60	144.60	222.00	179.10			22.40	19.30	37.60		393.70	365.40	4.00	3.10	2.72	2.20	1
대한해협	온산7	2020	11	2020-11-02	맑음	16	6.0	15.84	15.12	33.42	33.62	8.16	8.16	8.22	7.73	0.98	0.89	28.50	27.20	7.70	8.30	121.90	123.20	158.20	158.70			19.30	19.00	34.10		347.00	359.60	3.10	3.60	1.70	1.94	1
대한해협	온산8	2020	11	2020-11-03	맑음	18	5.5	15.08	15.04	33.67	33.65	8.18	8.16	7.84	7.79	0.63	0.97	18.80	20.90	7.90	8.10	117.40	121.00	144.00	150.00			17.20	17.60	29.60		338.20	341.70	5.80	6.10	1.63	1.44	1
대한해협	온산9	2020	11	2020-11-03	맑음	21	5.5	15.17	15.18	33.68	33.69	8.17	8.18	7.82	7.77	0.85	0.90	18.60	19.20	7.80	7.80	113.70	112.20	140.00	139.20			16.80	16.80	29.50		330.70	332.60	4.80	3.30	1.55	1.54	1
대한해협	부산1	2020	11	2020-11-16	맑음	17	4.0	16.85	16.85	33.34	33.35	8.29	8.29	7.81	7.74	1.40	1.23	12.60	11.50	2.90	2.90	60.30	58.30	75.90	72.70			10.20	9.40	17.40		216.00	214.70	7.30	8.00	5.28	4.92	1
대한해협	부산2	2020	11	2020-11-16	맑음	11	3.0	16.89	16.71	33.18	33.46	8.27	8.28	7.92	7.52	1.43	1.28	34.50	9.80	4.60	2.90	94.00	63.60	133.10	76.40			12.30	10.80	18.50		225.70	237.60	4.80	6.10	6.44	6.24	1
