Date_Time,SC,SD,WT,SAL,Hsig,Tsig,Hmax,Tmax,WD,,,,
2019-01-01 0:00,40,97,14.8,31.71,1.67,9.8,2.96,9,45,,,,
2019-01-01 0:30,33.8,104,14.8,31.69,1.52,10,2.77,11,46,,,,
2019-01-01 1:00,26.1,114,14.7,31.65,1.85,10.2,3.11,9,45,,,,
2019-01-01 1:30,28.8,116,14.6,31.58,1.82,9.2,3.48,11.5,51,,,,
2019-01-01 2:00,25.8,116,14.6,31.56,1.68,9.6,2.52,9,48,,,,
2019-01-01 2:30,19.1,137,14.4,31.67,1.59,8.2,2.36,7,56,,,,
2019-01-01 3:00,4.9,165,14.1,31.62,1.67,8.7,2.32,10.5,44,,,,
2019-01-01 3:30,9.6,161,13.9,31.66,1.49,8.1,2.41,10.5,46,,,,
2019-01-01 4:00,10.8,170,13.8,31.62,1.45,7.1,2.38,11.5,44,,,,
2019-01-01 4:30,13.8,186,13.7,31.57,1.5,7.1,2.31,4.5,46,,,,
2019-01-01 5:00,13.1,140,13.7,31.58,1.46,8.6,2.2,9,45,,,,
2019-01-01 5:30,20.5,134,13.7,31.58,1.42,7.5,2.22,12,52,,,,
2019-01-01 6:00,13.8,124,13.8,31.39,1.33,7.3,2.17,6,33,,,,
2019-01-01 6:30,26.8,106,13.8,31.46,1.4,6.8,2.41,11.5,50,,,,
2019-01-01 7:00,28.9,93,13.9,31.39,1.35,6.6,2.23,10.5,44,,,,
2019-01-01 7:30,28,90,13.9,31.49,1.23,5.9,1.99,9,44,,,,
2019-01-01 8:00,35.2,93,13.9,31.46,1.35,7,1.82,8.5,55,,,,
2019-01-01 8:30,50.6,84,14,31.5,1.27,6.8,2.21,11.5,55,,,,
2019-01-01 9:00,47.8,77,14.1,31.29,1.32,7,2.32,8,56,,,,
2019-01-01 9:30,51.5,75,14.1,31.01,1.21,7.6,1.87,10,48,,,,
2019-01-01 10:00,56.1,76,14.2,31,1.34,7,2.43,10,59,,,,
2019-01-01 10:30,60.5,80,14.2,30.84,1.37,7.7,2.15,10.5,48,,,,
2019-01-01 11:00,56.1,82,14.1,30.64,1.42,8,2.48,8,52,,,,
2019-01-01 11:30,59.6,81,14,30.43,1.33,7.9,2.04,8,47,,,,
2019-01-01 12:00,61.9,78,14.2,30.51,1.56,9,2.44,8,49,,,,
2019-01-01 12:30,68.6,86,14.5,30.37,1.32,8.8,2.64,10.5,54,,,,
2019-01-01 13:00,62.5,86,14.6,30.48,1.47,8.3,3.05,10,46,,,,
2019-01-01 13:30,59.1,86,14.6,30.37,1.41,8.5,2.27,8.5,44,,,,
2019-01-01 14:00,60.4,87,14.7,30.37,1.26,8,1.92,10,49,,,,
2019-01-01 14:30,56.1,90,14.6,30.59,1.22,8.3,1.94,7.5,42,,,,
2019-01-01 15:00,55.8,90,14.5,30.34,1.21,8.2,1.77,9.5,45,,,,
2019-01-01 15:30,56.3,88,14.7,30.52,1.34,9.1,2.28,10,49,,,,
2019-01-01 16:00,59.7,81,14.7,30.55,1.2,8,2.2,8,48,,,,
2019-01-01 16:30,57.8,87,14.3,30.63,1.16,8.2,1.97,9.5,48,,,,
2019-01-01 17:00,57.2,89,14.3,30.64,1.05,7.4,1.6,9.5,49,,,,
2019-01-01 17:30,63.5,87,14.3,30.82,1.06,6.4,1.6,9,49,,,,
2019-01-01 18:00,65.5,88,14.4,31.07,1.22,6.3,1.65,7.5,49,,,,
2019-01-01 18:30,65.6,87,14.4,31.12,1.2,5.8,1.98,4,60,,,,
2019-01-01 19:00,73.7,86,14.4,31.4,1.11,6,1.68,5,48,,,,
2019-01-01 19:30,76,88,14.5,31.09,1.18,6,1.61,4,54,,,,
2019-01-01 20:00,72.6,83,14.4,31.23,1.14,5.9,1.9,4.5,45,,,,
2019-01-01 20:30,69.7,79,14.5,31.15,1.16,6.4,1.75,7.5,52,,,,
2019-01-01 21:00,62.6,89,14.3,31.05,1.25,7,2.33,6.5,43,,,,
2019-01-01 21:30,,,,,0,,0,,,,,,
2019-01-01 22:00,58.7,95,14.6,31.18,1.12,6.7,2.09,10,51,,,,
2019-01-01 22:30,48,97,14.6,31.29,1.08,6.2,2.01,10.5,53,,,,
2019-01-01 23:00,45.3,98,14.7,31.21,1,6.3,1.54,6.5,45,,,,
2019-01-01 23:30,33,105,14.6,31.34,1,6,1.6,4,54,,,,
2019-01-02 0:00,25.6,113,14.7,31.37,0.98,5.8,1.6,10,70,,,,
2019-01-02 0:30,25.6,132,14.8,31.33,0.93,5.2,1.59,7.5,53,,,,
2019-01-02 1:00,15.6,145,14.7,31.28,1.06,5.9,1.56,7,49,,,,
2019-01-02 1:30,21,158,14.6,31.44,0.98,4.5,1.66,6.5,100,,,,
2019-01-02 2:00,16,162,14.6,31.36,1.1,4.8,1.85,7,295,,,,
2019-01-02 2:30,13.3,172,14.5,31.34,1.09,4.8,1.69,4,45,,,,
2019-01-02 3:00,22.9,165,14.5,31.36,1.04,4.7,1.53,5.5,288,,,,
2019-01-02 3:30,16.3,172,14.1,31.3,1.05,4.8,1.81,4.5,221,,,,
2019-01-02 4:00,19.6,219,13.7,31.29,1.1,4.9,1.73,3.5,284,,,,
2019-01-02 4:30,29.3,204,13.8,31.3,1.13,4.6,2.19,4.5,279,,,,
2019-01-02 5:00,21.2,212,13.9,31.26,1.07,4.6,1.71,4.5,275,,,,
2019-01-02 5:30,20.4,215,13.8,31.25,1.09,4.8,1.77,5,291,,,,
2019-01-02 6:00,15.6,181,13.8,31.14,1.09,4.5,1.58,3.5,287,,,,
2019-01-02 6:30,19.1,139,13.8,31.17,1.04,4.3,1.89,4.5,272,,,,
2019-01-02 7:00,19.5,127,13.7,31.17,0.98,4.2,2.06,4.5,292,,,,
2019-01-02 7:30,24.2,126,13.7,30.71,1.02,4.3,1.68,3.5,282,,,,
2019-01-02 8:00,26.8,111,13.8,30.5,0.94,4.2,1.4,6,289,,,,
2019-01-02 8:30,40.7,101,13.8,30.5,0.92,4.2,1.55,4,284,,,,
2019-01-02 9:00,42.5,102,13.8,30.47,0.9,4.4,1.52,4.5,300,,,,
2019-01-02 9:30,45.7,105,13.8,30.09,0.93,4.3,1.42,4,297,,,,
2019-01-02 10:00,50.2,100,13.8,30.37,0.93,4.4,1.46,4,302,,,,
2019-01-02 10:30,48.1,103,13.8,30.22,0.86,4.2,1.36,6,324,,,,
2019-01-02 11:00,63.1,88,14.3,30.42,0.87,4.8,1.39,3.5,316,,,,
2019-01-02 11:30,57.7,86,14.4,30.29,0.87,5.1,1.58,6.5,309,,,,
2019-01-02 12:00,57.5,98,14.4,30.44,0.85,5.2,1.42,5.5,51,,,,
2019-01-02 12:30,47.6,98,14.4,30.05,0.89,5.1,1.43,6,91,,,,
2019-01-02 13:00,48.6,105,14.6,29.85,0.74,5.2,1.27,5,47,,,,
2019-01-02 13:30,42.2,108,14.7,29.82,0.84,5.1,1.35,6,47,,,,
2019-01-02 14:00,39.2,105,14.6,30.08,0.82,5.3,1.22,7,33,,,,
2019-01-02 14:30,35.1,113,14.6,29.77,0.75,5.2,1.14,6,46,,,,
2019-01-02 15:00,30.5,105,14.6,29.78,0.7,5.2,1.15,7.5,64,,,,
2019-01-02 15:30,31.4,105,14.7,29.65,0.72,5.7,1.12,5.5,56,,,,
2019-01-02 16:00,31.9,104,14.6,29.78,0.72,5.8,1.2,6.5,61,,,,
2019-01-02 16:30,34.7,100,14.6,29.82,0.77,6,1.17,6,52,,,,
2019-01-02 17:00,42.6,101,14.6,29.53,0.71,5.5,1.23,6,61,,,,
2019-01-02 17:30,44.5,96,14.6,30.01,0.76,6,1.42,6,54,,,,
2019-01-02 18:00,53.5,94,14.6,31.09,0.76,5.7,1.76,6,57,,,,
2019-01-02 18:30,60.6,86,14.7,31.26,0.77,6,1.22,6.5,51,,,,
2019-01-02 19:00,65.2,83,14.6,31.36,0.75,5.8,1.16,8,40,,,,
2019-01-02 19:30,73.8,83,14.6,31.42,0.66,5.9,1.04,6.5,46,,,,
2019-01-02 20:00,75.3,82,14.7,31.36,0.72,6.2,1.29,8.5,54,,,,
2019-01-02 20:30,72.7,78,14.7,31.44,0.76,6.3,1.1,8,48,,,,
2019-01-02 21:00,69.3,81,14.6,31.33,0.76,6,1.26,5,49,,,,
2019-01-02 21:30,71.1,85,14.7,31.12,0.73,5.3,1.24,5.5,46,,,,
2019-01-02 22:00,68.2,82,14.8,31.31,0.77,5.2,1.23,8,53,,,,
2019-01-02 22:30,59,84,14.8,31.43,0.78,4.2,1.33,7,316,,,,
2019-01-02 23:00,43.7,88,14.8,31.48,0.74,4.4,1.29,4,305,,,,
2019-01-02 23:30,42.6,87,14.9,31.4,0.77,4.7,1.23,3.5,61,,,,
2019-01-03 0:00,23.4,97,14.9,31.44,0.78,4.2,1.17,6,56,,,,
2019-01-03 0:30,21.3,108,14.9,31.44,0.76,4.8,1.08,7,62,,,,
2019-01-03 1:00,11.7,132,14.9,31.42,0.75,4.7,1.1,4.5,47,,,,
2019-01-03 1:30,11.2,172,14.9,31.38,0.81,4.2,1.56,4.5,315,,,,
2019-01-03 2:00,8.2,218,14.9,31.4,0.82,4.2,1.34,7.5,60,,,,
2019-01-03 2:30,14.1,226,14.8,31.33,0.78,4.2,1.33,4,293,,,,
2019-01-03 3:00,18.2,243,14.8,31.23,0.83,4.2,1.37,3.5,288,,,,
2019-01-03 3:30,19.5,236,14.7,31.36,0.81,4.1,1.3,3,298,,,,
2019-01-03 4:00,18.3,239,14.7,31.37,0.85,3.9,1.47,3.5,301,,,,
2019-01-03 4:30,15.1,239,14.7,31.28,0.87,4.2,1.4,3.5,299,,,,
2019-01-03 5:00,11.2,235,14.7,31.14,0.86,4.3,1.36,3.5,280,,,,
2019-01-03 5:30,10.6,243,14.6,31.3,0.93,4.3,1.69,4.5,303,,,,
2019-01-03 6:00,2.1,116,14.6,31.36,0.9,4.3,1.7,8,286,,,,
2019-01-03 6:30,4.4,80,14.6,31.27,0.82,4.3,1.36,3.5,300,,,,
2019-01-03 7:00,12.8,69,14.6,31.3,0.89,4.2,1.3,5,299,,,,
2019-01-03 7:30,36.1,54,15.3,31.18,0.92,4.6,1.52,5,294,,,,
2019-01-03 8:00,43.5,55,15.2,31.05,0.92,4.4,1.36,3.5,307,,,,
2019-01-03 8:30,54,59,15.1,30.68,0.89,4.3,1.34,7,302,,,,
2019-01-03 9:00,56.7,57,15.1,30.52,0.82,5,1.3,7.5,49,,,,
2019-01-03 9:30,61.5,60,15,30.46,0.77,4.8,1.29,5,63,,,,
2019-01-03 10:00,61.9,61,15,30.5,0.73,4.6,1.17,5,48,,,,
2019-01-03 10:30,65.6,61,15.1,30.31,0.83,5.9,1.44,6.5,54,,,,
2019-01-03 11:00,65.8,59,15,30.55,0.82,6.3,1.31,3,51,,,,
2019-01-03 11:30,63,59,15.1,30.42,0.81,5.3,1.18,6,49,,,,
2019-01-03 12:00,57.9,58,15.1,30.37,0.88,5.3,1.57,6.5,53,,,,
2019-01-03 12:30,50.8,57,15,30.59,0.86,5.5,1.34,7,60,,,,
2019-01-03 13:00,44.9,56,15,30.39,0.93,5.7,1.48,7,47,,,,
2019-01-03 13:30,40.8,39,15.4,30.22,0.98,5.9,1.67,7,46,,,,
2019-01-03 14:00,38.9,40,15.3,30.18,0.86,5.7,1.21,7,46,,,,
2019-01-03 14:30,32,38,15.3,30.26,0.96,6,1.94,6.5,36,,,,
2019-01-03 15:00,27.9,21,15.6,30.18,0.96,5.9,1.41,6,30,,,,
2019-01-03 15:30,38.9,2,16.1,30.3,0.91,6.2,1.68,5.5,40,,,,
2019-01-03 16:00,34.1,4,16.3,30.56,0.92,6.1,1.38,6.5,37,,,,
2019-01-03 16:30,30.6,19,16.3,30.53,0.87,5.7,1.5,7,49,,,,
2019-01-03 17:00,28,5,16.5,30.59,0.9,6.2,1.58,6,46,,,,
2019-01-03 17:30,31.3,13,16.5,30.89,0.79,5.7,1.38,5,44,,,,
2019-01-03 18:00,35,29,16.6,31.65,0.88,6.1,1.53,7,43,,,,
2019-01-03 18:30,36.1,36,16.5,31.69,0.8,5.9,1.21,6,46,,,,
2019-01-03 19:00,39.9,43,16.5,31.62,0.79,5.9,1.37,7,54,,,,
2019-01-03 19:30,41.9,55,16.4,31.71,0.75,5.9,1.12,6.5,48,,,,
2019-01-03 20:00,49.3,56,16.2,31.67,0.72,5.3,1.27,6.5,54,,,,
2019-01-03 20:30,50.8,60,15.7,31.56,0.67,5.8,1.16,7,57,,,,
2019-01-03 21:00,40.9,78,15,31.55,0.67,5.4,1.02,5.5,39,,,,
2019-01-03 21:30,46,80,15.1,31.56,0.61,5.9,1.01,7.5,63,,,,
2019-01-03 22:00,46.5,93,15.2,31.52,0.65,6.4,1.1,5.5,61,,,,
2019-01-03 22:30,45.1,92,15.3,31.5,0.61,6.4,0.97,6.5,51,,,,
2019-01-03 23:00,42.7,91,15.3,31.48,0.61,6.1,1.03,8,54,,,,
2019-01-03 23:30,41.6,90,15.3,31.46,0.57,5.8,0.88,7.5,52,,,,
2019-01-04 0:00,33.8,91,15.3,31.57,0.58,5.8,1.05,7.5,51,,,,
2019-01-04 0:30,25.9,106,15.4,31.44,0.64,5.7,0.95,6,55,,,,
2019-01-04 1:00,20,119,15.4,31.47,0.58,5.1,1,7.5,50,,,,
2019-01-04 1:30,8.5,133,15.4,31.41,0.62,4.6,1.07,3,59,,,,
2019-01-04 2:00,6.2,212,15.4,31.53,0.53,5.4,0.85,7.5,65,,,,
2019-01-04 2:30,14.1,231,15.3,31.61,0.56,5.6,0.85,5.5,54,,,,
2019-01-04 3:00,22,228,15.3,31.58,0.58,5.2,0.92,5.5,47,,,,
2019-01-04 3:30,26.8,239,15.3,31.6,0.59,5.5,0.85,5,47,,,,
2019-01-04 4:00,33.2,228,15.3,31.52,0.62,5.6,0.94,6.5,57,,,,
2019-01-04 4:30,42.3,225,15.3,31.46,0.6,5.2,0.98,5.5,59,,,,
2019-01-04 5:00,50.3,223,15.3,31.43,0.61,5.9,1.11,6.5,59,,,,
2019-01-04 5:30,48.1,226,15.2,31.51,0.59,6.2,0.91,6,62,,,,
2019-01-04 6:00,44.6,227,15.3,31.29,0.62,6.3,0.93,7,57,,,,
2019-01-04 6:30,41.3,228,15.2,31.41,0.63,6.5,0.98,6.5,57,,,,
2019-01-04 7:00,32.1,230,15.2,31.24,0.64,5.9,1.19,8.5,47,,,,
2019-01-04 7:30,16.9,277,15.3,30.82,0.66,5.9,1.09,6,45,,,,
2019-01-04 8:00,12.5,295,15.4,30.3,0.64,6.4,1.07,7.5,50,,,,
2019-01-04 8:30,7.1,335,15.3,30.12,0.65,6.9,0.93,8,52,,,,
2019-01-04 9:00,9.4,60,15.2,30.2,0.71,7.5,1.13,8,52,,,,
2019-01-04 9:30,14.2,62,15.3,29.91,0.62,6.8,1.05,9.5,57,,,,
2019-01-04 10:00,24.3,67,15.3,29.78,0.74,7.2,1.43,8,47,,,,
2019-01-04 10:30,41.7,73,15.3,29.95,0.71,7.3,1.11,9,57,,,,
2019-01-04 11:00,38.3,77,15.2,29.92,0.67,6.8,1.16,8.5,54,,,,
2019-01-04 11:30,48.5,78,15.2,29.87,0.68,7.5,1.07,6.5,61,,,,
2019-01-04 12:00,51.4,77,15.2,30.02,0.65,6.6,1.09,8,53,,,,
