"Time","WT","Sal","DO","NH4","NOx","PO4","SiO2"
"2019-01-01",8.05,25.62,10.41,0.08,0.81,0.02,1
"2019-01-02",8.78,28.35,10.06,0.08,0.65,0.02,0.85
"2019-01-03",NA,NA,NA,NA,NA,NA,NA
"2019-01-04",8.58,28.25,10.09,0.04,0.97,0.02,0.98
"2019-01-05",7.36,20.82,11.21,0.12,1.39,0.02,1.21
"2019-01-06",8.12,28.77,9.49,0.08,0.63,0.03,0.95
"2019-01-07",7.97,23.85,10.6,0.04,0.66,0.02,0.91
"2019-01-08",8.63,26.99,9.93,0.08,0.94,0.03,0.97
"2019-01-09",9,28.46,9.68,0.08,0.78,0.03,0.98
"2019-01-10",8,25.66,10.85,0.06,0.68,0.02,0.91
"2019-01-11",8.36,27.05,10.24,0.09,0.65,0.02,0.88
"2019-01-12",8.4,24.79,10.86,0.05,0.91,0.02,0.92
"2019-01-13",8.42,22.88,10.74,0.12,1.08,0.02,0.95
"2019-01-14",8,21.65,10.91,0.07,1.11,0.02,0.92
"2019-01-15",9,24.59,10.39,0.1,0.86,0.02,0.83
"2019-01-16",7.87,18.72,11.28,0.13,1.34,0.02,0.96
"2019-01-17",9.46,31.33,9.21,0.05,0.41,0.02,0.55
"2019-01-18",8.17,25.85,10.03,0.08,0.92,0.02,0.67
"2019-01-19",8.66,27.24,9.99,0.08,0.73,0.02,0.63
"2019-01-20",9.49,28.49,9.71,0.06,0.68,0.02,0.64
"2019-01-21",8.35,27.23,9.89,0.05,0.5,0.02,0.61
"2019-01-22",8.83,27.14,10.14,0.08,0.99,0.02,0.65
"2019-01-23",9.31,28.42,9.96,0.06,0.8,0.02,0.66
"2019-01-24",8.97,27.72,10.03,0.22,0.94,0.05,0.86
"2019-01-25",9.26,29.07,9.93,0.06,0.64,0.02,0.65
"2019-01-26",8.6,27.55,10.36,0.07,0.77,0.02,0.64
"2019-01-27",7.42,25.24,10.79,0.08,0.94,0.02,0.57
"2019-01-28",6.91,19.94,12,0.09,1.36,0.01,0.58
"2019-01-29",6.47,18.76,13.58,0.06,1.26,0.01,0.61
"2019-01-30",7.76,24.21,12.01,0.07,1.07,0.01,0.57
"2019-01-31",9.25,24.99,10.67,0.06,1,0.01,0.58
"2019-02-01",7.37,23.71,10.61,0.06,1.1,0.01,0.5
"2019-02-02",8.84,28.39,9.55,0.03,0.69,0.01,0.63
"2019-02-03",9.78,29.55,9.58,0.03,0.7,0.01,0.81
"2019-02-04",8.69,18.74,11.62,0.13,1.43,0.01,0.74
"2019-02-05",8.76,25.87,9.93,0.07,0.94,0.01,0.6
"2019-02-06",9.19,25.33,10.43,0.03,0.84,0.02,0.63
"2019-02-07",9.78,24.86,10.29,0.06,1.02,0.02,0.74
"2019-02-08",10.43,30.16,9.61,0.03,0.69,0.02,0.65
"2019-02-09",9.66,28.5,12.09,0.05,0.79,0.02,0.79
"2019-02-10",9.01,32.07,8.65,0.04,0.46,0.03,0.67
"2019-02-11",8.64,29.12,10.42,0.05,0.78,0.02,0.94
"2019-02-12",0,0,0,0,0,0,0
"2019-02-13",0,0,0,0,0,0,0
"2019-02-14",7.47,25.18,11.85,0.09,1,0.02,0.91
"2019-02-15",7.57,25.8,12.17,0.09,1.16,0.01,0.88
"2019-02-16",7.75,24.17,11.85,0.09,1.29,0.01,0.96
"2019-02-17",7.19,22.14,12.2,0.05,1.68,0.01,0.94
"2019-02-18",8.06,24.91,11.4,0.11,1.33,0.01,0.95
"2019-02-19",9.62,30.94,10.48,0.18,0.82,0.03,0.94
"2019-02-20",8.41,23.12,11.5,0.14,1.6,0.01,0.94
"2019-02-21",8.53,22.46,11.26,0.05,1.16,0.01,0.73
"2019-02-22",10.06,27.8,9.88,0.08,1.22,0.01,0.69
"2019-02-23",10.97,31.08,11.37,0.09,0.9,0.02,0.7
"2019-02-24",9.57,23.24,10.86,0.19,1.51,0.01,0.6
"2019-02-25",10.82,27.02,11.26,0.13,1.18,0.02,0.64
"2019-02-26",11.59,32.35,8.67,0.06,0.43,0.02,0.62
"2019-02-27",11.53,27.55,10.15,0.15,1.35,0.02,0.61
"2019-02-28",12.56,33.53,7.69,0.1,0.71,0.02,0.69
"2019-03-01",10.58,29.88,9.12,0.08,0.58,0.02,0.78
"2019-03-02",12.89,29.7,9.48,0.1,0.72,0.02,0.58
"2019-03-03",13.24,31.97,0,0.1,0.55,0.02,0.62
"2019-03-04",13.06,31.42,0,0.13,0.64,0.03,0.7
"2019-03-05",13.06,31.44,0,0.13,0.74,0.04,0.84
"2019-03-06",13.08,29.93,0,0.12,0.78,0.03,0.63
"2019-03-07",12.66,32.39,0,0.13,0.65,0.03,0.6
"2019-03-08",12.68,32.85,8.07,0.12,0.34,0.03,0.69
"2019-03-09",13.03,30.86,9.57,0.05,0.45,0.01,0.58
"2019-03-10",13.68,31.59,9.45,0.12,0.48,0.02,0.59
"2019-03-11",11.86,24.72,9.36,0.22,1.17,0.02,0.31
"2019-03-12",11.85,21.47,9.52,0.2,1.45,0.02,0.28
"2019-03-13",12.12,20.93,9.18,0.27,1.2,0.03,0.57
"2019-03-14",11.13,20.57,11.59,0.16,1.37,0.01,0.2
"2019-03-15",10.5,20.91,10.18,0.21,1.36,0.01,0.09
"2019-03-16",11.22,23.9,10.29,0.14,0.95,0.02,0.17
"2019-03-17",10.97,18.52,10.34,0.19,1.5,0.02,0.14
"2019-03-18",11.9,22.68,9.56,0.16,1.11,0.02,0.14
"2019-03-19",12.76,23.26,8.82,0.18,1.21,0.03,0.23
"2019-03-20",12.98,29.15,7.32,0.18,1.05,0.04,0.38
"2019-03-21",13.16,21.09,8.45,0.25,1.44,0.02,0.26
"2019-03-22",13.85,29.78,8.31,0.19,0.64,0.03,0.36
"2019-03-23",13.1,25.26,7.68,0.24,0.89,0.03,0.48
"2019-03-24",13.11,24.19,7.62,0.2,0.77,0.03,0.37
"2019-03-25",12.88,20.67,8,0.3,1.32,0.04,0.31
"2019-03-26",12.3,20.5,8.86,0.24,1.33,0.02,0.27
"2019-03-27",13.56,19.84,8.42,0.29,1.39,0.02,0.21
"2019-03-28",13.44,21.53,8.26,0.22,1.47,0.03,0.31
"2019-03-29",13.98,25.86,7.55,0.17,0.89,0.03,0.47
"2019-03-30",14.16,21.33,8.48,0.18,1.34,0.02,0.23
"2019-03-31",13.55,27.4,7.34,0.18,0.74,0.05,0.4
"2019-04-01",13.39,27.88,7.18,0.09,0.94,0.04,0.48
"2019-04-02",13.09,29.94,7.15,0.08,0.56,0.03,0.28
"2019-04-03",13.21,26.43,8.18,0.15,0.97,0.02,0.16
"2019-04-04",13.49,25.65,8.99,0.09,1.05,0.02,0.43
"2019-04-05",14.08,28.42,9.19,0.07,0.8,0.01,0.38
"2019-04-06",14.27,27.15,8.41,0.12,1.07,0.02,0.44
"2019-04-07",14.47,27.24,8.81,0.12,0.7,0.02,0.46
"2019-04-08",13.85,30.77,8.95,0.11,0.58,0.02,0.33
"2019-04-09",13.76,30.34,8.76,0.1,0.48,0.03,0.43
"2019-04-10",13.67,27.58,9.53,0.1,1.43,0.03,0.34
"2019-04-11",12.98,27.94,7.92,0.15,1,0.02,0.23
"2019-04-12",13.1,18.33,8.95,0.18,2.06,0.02,0.27
"2019-04-13",13.47,14.86,9.33,0.23,1.68,0.01,0.25
"2019-04-14",13.85,11.59,9.37,0.27,1.88,0.02,0.33
"2019-04-15",13.87,15.96,9.49,0.2,1.67,0.03,0.29
"2019-04-16",14.57,19.67,8.29,0.22,1.38,0.03,0.35
"2019-04-17",15.13,21.82,7.81,0.23,1.2,0.05,0.47
"2019-04-18",14.74,23.56,8.65,0.15,1.01,0.03,0.33
"2019-04-19",15,19.02,8.8,0.14,0.7,0.03,0.38
"2019-04-20",14.46,27.21,8.45,0.14,0.33,0.04,0.42
"2019-04-21",14.58,27.44,8.2,0.09,0.37,0.03,0.34
"2019-04-22",15.08,28.02,8.41,0.06,0.37,0.02,0.27
"2019-04-23",15.27,26.92,9.54,0.07,0.53,0.02,0.31
"2019-04-24",15.45,26.38,8.81,0.12,0.75,0.03,0.36
"2019-04-25",15.8,22.43,8.56,0.17,1.25,0.03,0.38
"2019-04-26",15.4,26.51,8.04,0.17,0.88,0.03,0.35
"2019-04-27",14.62,21.68,7.74,0.23,1.06,0.03,0.41
"2019-04-28",14.89,20.4,8.06,0.19,1,0.03,0.44
"2019-04-29",15.1,24.35,8.45,0.17,0.73,0.04,0.54
"2019-04-30",15.58,7.46,8.27,0.22,2.01,0.03,0.55
