"Time","Cond","WT","pH","DO","Turb","Sal","COD","TN","TP","SiO2","NH4","NOx","Cyano","PO4"
"2019-01-01",29.44,8.05,7.97,10.41,32.52,25.62,3.12,0.9,0.05,1,0.08,0.81,3911.8,0.02
"2019-01-02",32.32,8.78,7.95,10.06,30.37,28.35,2.77,0.73,0.05,0.85,0.08,0.65,3563.13,0.02
"2019-01-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-04",32.09,8.58,7.91,10.09,28.68,28.25,1.32,1.01,0.04,0.98,0.04,0.97,3308.1,0.02
"2019-01-05",24.84,7.36,7.89,11.21,26.11,20.82,1.36,1.46,0.03,1.21,0.12,1.39,2724.77,0.02
"2019-01-06",32.22,8.12,7.84,9.49,26.83,28.77,1.02,0.78,0.04,0.95,0.08,0.63,2437.33,0.03
"2019-01-07",27.84,7.97,7.88,10.6,25.16,23.85,1.09,0.81,0.06,0.91,0.04,0.66,2704.07,0.02
"2019-01-08",31.02,8.63,7.82,9.93,24.86,26.99,0.68,0.97,0.05,0.97,0.08,0.94,1782.13,0.03
"2019-01-09",32.57,9,7.82,9.68,20.57,28.46,0.93,0.9,0.05,0.98,0.08,0.78,1680.1,0.03
"2019-01-10",29.45,8,7.94,10.85,15.53,25.66,1.93,0.85,0.05,0.91,0.06,0.68,3033.3,0.02
"2019-01-11",30.9,8.36,7.9,10.24,14.92,27.05,1.47,0.86,0.05,0.88,0.09,0.65,2438.97,0.02
"2019-01-12",28.93,8.4,7.92,10.86,14.25,24.79,2.11,1.09,0.05,0.92,0.05,0.91,3281.57,0.02
"2019-01-13",27.25,8.42,7.84,10.74,15.17,22.88,1.81,1.52,0.04,0.95,0.12,1.08,2619.93,0.02
"2019-01-14",25.91,8,7.84,10.91,15.93,21.65,2.26,1.45,0.04,0.92,0.07,1.11,2680.1,0.02
"2019-01-15",29.12,9,7.84,10.39,17.78,24.59,1.84,0.88,0.04,0.83,0.1,0.86,2748.77,0.02
"2019-01-16",23.23,7.87,7.87,11.28,17.01,18.72,2.8,1.62,0.03,0.96,0.13,1.34,2494.37,0.02
"2019-01-17",35.45,9.46,7.89,9.21,16.01,31.33,1.26,0.45,0.04,0.55,0.05,0.41,2361.4,0.02
"2019-01-18",29.72,8.17,7.92,10.03,16.36,25.85,1.6,1.04,0.03,0.67,0.08,0.92,2730.03,0.02
"2019-01-19",31.26,8.66,7.94,9.99,16.2,27.24,1.11,0.82,0.03,0.63,0.08,0.73,2493.93,0.02
"2019-01-20",32.95,9.49,7.92,9.71,16.94,28.49,0.33,0.72,0.03,0.64,0.06,0.68,2150.87,0.02
"2019-01-21",31.04,8.35,7.94,9.89,16.59,27.23,1.04,0.87,0.03,0.61,0.05,0.5,2858.47,0.02
"2019-01-22",31.29,8.83,7.95,10.14,15.9,27.14,1.41,1.17,0.03,0.65,0.08,0.99,2704.1,0.02
"2019-01-23",32.76,9.31,7.95,9.96,16.53,28.42,1.13,0.99,0.03,0.66,0.06,0.8,2079.4,0.02
"2019-01-24",31.9,8.97,7.93,10.03,15.57,27.72,1.54,0.9,0.07,0.86,0.22,0.94,2801.3,0.05
"2019-01-25",33.3,9.26,7.96,9.93,17.29,29.07,1.29,0.9,0.03,0.65,0.06,0.64,2375.07,0.02
"2019-01-26",31.49,8.6,7.97,10.36,17.12,27.55,1.32,0.99,0.04,0.64,0.07,0.77,2900.27,0.02
"2019-01-27",28.72,7.42,7.99,10.79,17.15,25.24,1.71,1.16,0.04,0.57,0.08,0.94,4084.6,0.02
"2019-01-28",23.83,6.91,8.03,12,16.03,19.94,2.46,1.59,0.03,0.58,0.09,1.36,5273.43,0.01
"2019-01-29",22.59,6.47,8.13,13.58,16.47,18.76,2.39,1.46,0.03,0.61,0.06,1.26,5660,0.01
"2019-01-30",28.03,7.76,7.83,12.01,18.63,24.21,1.78,1.23,0.04,0.57,0.07,1.07,3888.55,0.01
"2019-01-31",29.63,9.25,7.72,10.67,20.5,24.99,1.04,1.12,0.03,0.58,0.06,1,2454.77,0.01
"2019-02-01",27.36,7.37,7.98,10.61,15.49,23.71,1.86,1.2,0.04,0.5,0.06,1.1,2889.67,0.01
"2019-02-02",32.4,8.84,7.9,9.55,15.52,28.39,1.66,1.02,0.05,0.63,0.03,0.69,4138.93,0.01
"2019-02-03",34.11,9.78,7.85,9.58,17.07,29.55,2.42,1.28,0.07,0.81,0.03,0.7,0,0.01
"2019-02-04",23.63,8.69,7.87,11.62,15.73,18.74,1.72,1.95,0.04,0.74,0.13,1.43,2513.63,0.01
"2019-02-05",30.12,8.76,7.8,9.93,16.04,25.87,1.29,1.16,0.04,0.6,0.07,0.94,2089.13,0.01
"2019-02-06",29.91,9.19,7.81,10.43,16.18,25.33,1.35,1.21,0.06,0.63,0.03,0.84,1712.73,0.02
"2019-02-07",29.85,9.78,7.8,10.29,17.47,24.86,0.93,1.25,0.05,0.74,0.06,1.02,1587.53,0.02
"2019-02-08",35.14,10.43,7.99,9.61,15.44,30.16,1.13,0.71,0.05,0.65,0.03,0.69,2288.63,0.02
"2019-02-09",33.07,9.66,8.13,12.09,15.17,28.5,0.92,0.89,0.05,0.79,0.05,0.79,1842.43,0.02
"2019-02-10",35.74,9.01,7.9,8.65,15.85,32.07,0.92,0.71,0.06,0.67,0.04,0.46,1930.7,0.03
"2019-02-11",32.9,8.64,7.95,10.42,17.36,29.12,0.99,1.14,0.06,0.94,0.05,0.78,2345.07,0.02
"2019-02-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-02-13",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-02-14",30.68,7.47,7.91,11.85,16.96,25.18,3.41,1.8,0.03,0.91,0.09,1,2574.83,0.02
"2019-02-15",31.59,7.57,8.02,12.17,14.94,25.8,2.83,1.53,0.02,0.88,0.09,1.16,2727.03,0.01
"2019-02-16",29.16,7.75,8,11.85,14.52,24.17,2.5,1.5,0.02,0.96,0.09,1.29,2231.4,0.01
"2019-02-17",26.18,7.19,7.99,12.2,14.9,22.14,3.58,1.52,0.03,0.94,0.05,1.68,1918.03,0.01
"2019-02-18",30.25,8.06,7.94,11.4,15.13,24.91,2.48,1.58,0.03,0.95,0.11,1.33,2180.2,0.01
"2019-02-19",38.89,9.62,7.88,10.48,14.62,30.94,1.49,1.05,0.05,0.94,0.18,0.82,1625.97,0.03
"2019-02-20",27.56,8.41,7.88,11.5,15.03,23.12,1.99,1.66,0.04,0.94,0.14,1.6,1615.07,0.01
"2019-02-21",26.55,8.53,8,11.26,15.78,22.46,2.76,1.08,0.03,0.73,0.05,1.16,3397.07,0.01
"2019-02-22",34.31,10.06,7.85,9.88,15.32,27.8,2.25,1.2,0.02,0.69,0.08,1.22,1936.47,0.01
"2019-02-23",38.98,10.97,8.05,11.37,16.37,31.08,2.04,0.87,0.03,0.7,0.09,0.9,1596.97,0.02
"2019-02-24",27.66,9.57,7.93,10.86,17.2,23.24,2.86,1.64,0.03,0.6,0.19,1.51,2640.93,0.01
"2019-02-25",33.13,10.82,8.06,11.26,18,27.02,2.03,1.47,0.04,0.64,0.13,1.18,1591.5,0.02
"2019-02-26",40.74,11.59,7.87,8.67,18.75,32.35,1.22,0.54,0.05,0.62,0.06,0.43,1545.67,0.02
"2019-02-27",33.86,11.53,7.94,10.15,20.09,27.55,1.38,1.28,0.03,0.61,0.15,1.35,1640.63,0.02
"2019-02-28",42.31,12.56,7.87,7.69,19.7,33.53,2.15,0.68,0.03,0.69,0.1,0.71,1442.8,0.02
"2019-03-01",49.25,10.58,7.96,9.12,21.83,29.88,2.41,0.66,0.04,0.78,0.08,0.58,2576,0.02
"2019-03-02",36.56,12.89,7.91,9.48,22.76,29.7,2.35,0.82,0.03,0.58,0.1,0.72,2334.2,0.02
