"","Sp_1","Sp_2","Sp_3","Sp_4","Sp_5","Sp_6","Sp_7","Sp_8","Sp_9","Sp_10","Sp_11","Sp_12","Sp_13","Sp_14","Sp_15","Sp_16","Sp_17","Sp_18","Sp_19","Sp_20","Sp_21","Sp_22","Sp_23","Sp_24","Sp_25","Sp_26","Sp_27","Sp_28","Sp_29","Sp_30","Sp_31","Sp_32","Sp_33","Sp_34","Sp_35","Sp_36","Sp_37","Sp_38","Sp_39","Sp_40"
"Time_1",0.00017854953603819,0.145938052900846,0.361041270837059,0.114100617144881,0.116216976302028,0.107725243350606,0.25580369165032,0.000521594173144728,0.0125859127783385,0.0782475089012638,0.178724697372919,0.0177639186266046,0.107302946148413,0.000601928452806622,0.000699796256357759,0.0450648035556461,0.00756815386205572,0.0412942430721398,0.00695622106829286,0.0507447516398092,0.059649673841431,0.00125894867237601,0.0222323310507212,0.0452595195888028,0.0146467305193498,0.00217375580815884,0.00051354988633965,0.0152652488719398,4.70610256306827e-06,0.0105434839987005,0.0279864098893015,0.00140438988662431,0.0107024701386188,0.0168498425197959,0.00244620666466156,1.21079562231898e-06,1.811463996768e-05,0.000215838217138171,7.84789019264281e-06,0.0118558971542973
"Time_2",8.19611114174128e-05,0.10922239484429,0.395065422317336,0.140920254767313,0.298170008457259,0.107872846077162,0.166904104622663,0.000464588573757499,0.0244245272937979,0.0671263872606658,0.135067593448208,0.0130778233487877,0.0850071578934974,0.000328953339129075,0.00287484922081585,0.0479139345403013,0.00757989903776506,0.0447325697590255,0.00811061762986778,0.0315119777074934,0.0316340156306309,0.000781175975778073,0.0226311416940126,0.0452921337019047,0.0129313362035447,0.00227262576126975,0.00109107502301674,0.0127704324908109,2.79818461883813e-05,0.0106676450689745,0.0256135812508127,0.00241685610390016,0.00852066017358311,0.00888678519399205,0.00628130134372473,5.72831928730011e-06,7.21270878802985e-05,0.000487971456062049,1.77784797269851e-05,0.00792787697536965
"Time_3",0.000247891122482717,0.217743564510366,0.27011136252001,0.135704233977554,0.288895363777714,0.177786060393885,0.0363433017130353,0.00268747091538113,0.0130492227031629,0.128653023768914,0.100723227230986,0.0392493805993133,0.0514639259876578,0.00536994571394263,0.0223914885999694,0.0536647948194708,0.00976743782120896,0.0208055218558561,0.0124741915159718,0.0668438849844812,0.0110466520710167,0.00219043405042592,0.0516272424702068,0.0132472311226209,0.0163753701647299,0.00431260285565688,0.0183908986815837,0.00310822871264506,0.000673973680863291,0.0142161893076795,0.0116952881158061,0.0018455770639973,0.00246949181604423,0.0176390395795681,0.0126216137089617,5.37403351940215e-05,0.000235021669972882,0.00241840079377569,3.48468509690464e-05,0.00313364978433608
"Time_4",0.000169044540478289,0.308230175667908,0.13326404802882,0.018505039484156,0.102173551778879,0.0868343830725191,0.132857368644845,0.000191420133784413,0.00122495183997679,0.270024880535965,0.159103942901037,0.104866093956553,0.160683711490959,0.000341823057945803,0.000360606078176752,0.085733791757571,0.0192767575519492,0.0338486110290231,0.0039589878547895,0.0577537122363952,0.024826486312482,0.000547048048463762,0.00226553364272702,0.0185820762232406,0.0394811717096933,0.00112664507570277,0.00052737842166096,0.030425232603122,1.85793258622289e-05,0.00188279408643554,0.0264302050226451,0.00135081342530178,0.0165142972800134,0.00505932029934564,0.00214803298491445,0.000627383036919504,0.000158861586138234,0.0204194626864661,1.41744684334844e-05,0.0197853764698463
"Time_5",0.000283515321505815,0.27568001537224,0.256503861696181,0.0569791235323066,0.0281779419865434,0.129777162568301,0.111885155599201,0.000705074794614911,0.00787840882920769,0.222936036344519,0.254158880976104,0.055402487496546,0.0936157514954949,0.00176601258386175,0.0039020926910795,0.067119392766194,0.0249683459094223,0.0061046942528905,0.0328131218206765,0.0143299103327803,0.00289260687351552,0.000955823536117822,0.0264737193075612,0.021136217321626,0.0329447793307561,0.00279127456445214,0.00547521804554603,0.0185436767417699,0.000819570578960136,0.0078533056422327,0.0288514204297986,0.0278209139496393,0.0077588646181519,0.01213530121168,0.00373336599234182,0.0112005187692137,1.97641097195447e-05,0.0137807792879618,2.99259899184109e-07,0.0103041547841909
"Time_6",0.000184647930087894,0.200303174427763,0.301433210031497,0.112323485605349,0.0603275257207515,0.254539827532051,0.0190047016658786,0.00191183423827133,0.0148580280996959,0.117097493794844,0.0809786127760007,0.0239537527986154,0.0410522251954282,0.0619614805889216,0.0641856125464,0.0500308035200434,0.0237816666901227,0.000924868892832548,0.0708328735194137,0.0046874093440156,0.00171274539822924,0.00730060176980168,0.0501265198564368,0.00371867644550754,0.0247458542924817,0.00528484106462561,0.00707425448826879,0.0112911108651828,0.0109517029193944,0.0112259157756077,0.0173656739236572,0.0164373683583007,0.00537382888327025,0.0111977948097823,0.0173408538192042,0.0218480659776638,1.85694309256971e-05,0.0123320619226034,1.03675594553351e-05,0.00279488085053968
"Time_7",0.000580015031872153,0.345525762681918,0.294993127250999,0.111244070240027,0.0581625826264327,0.115402454420608,0.236292355945435,0.00326784415646374,0.00303039729853386,0.186073572744733,0.0331086047852138,0.00375863752360359,0.121094828965023,0.00284673222972016,0.00672417300399519,0.0695918653649093,0.0747073425528271,0.00907456359423161,0.0211758923857169,0.00324745257461035,0.00295054028347686,0.00389462306527309,0.00258437554735315,0.0460777108370854,0.0165823446139743,0.000241259343195558,0.000156834313769266,0.0365735056919693,7.55233634263277e-06,0.00464490619045551,0.0108459622340186,0.00316659805747299,0.0261173259505126,0.00573069752510181,0.00178485882520005,0.000909581821455061,0.000231491290010944,0.00883057225508697,1.69709932710975e-05,0.00902678539970539
"Time_8",0.00124262382747534,0.409785431277089,0.239304108405453,0.190088015751811,0.0710997994514154,0.0517813357693794,0.287617807143665,0.00134619037631685,0.00893763625992796,0.1909914788808,0.0827999525061967,0.00441677663035101,0.0375654015690026,0.0269917058174992,0.0103871645515441,0.0490817339275718,0.0140855971625685,0.00205143774888945,0.0276259816263919,0.00269004258168557,0.016304365781725,0.00516997064306447,0.0138604006538315,0.0211952953886085,0.00553898374769032,0.00489905388671136,0.0011747092712556,0.0121908040095468,0.00116096910795179,0.0100007879996605,0.023303820423474,0.0162679558489124,0.00512953390115972,0.00196438764402285,0.00361383430780154,0.00444903358128944,0.000107483355190605,0.00583503852145757,7.69444947130978e-06,0.00145657693242936
"Time_9",0.000594276763653457,0.286143695074767,0.27901465336521,0.148824476938989,0.0582259518347286,0.222096699084278,0.00531371040515808,0.0118339007641869,0.0279094701339221,0.175956280507498,0.0700951921095101,0.0135337206505844,0.0409577080828603,0.139446968046918,0.00989607813528679,0.0315463468309166,0.0186862094041306,0.00185298803743872,0.0190385213136886,0.00463085124612084,0.000451273333326668,0.035924616948709,0.033835913755936,0.00284192827434883,0.00851998726039733,0.0103719077912769,0.00369213194724199,0.00750759552016509,0.00199043680288394,0.0160506707263596,0.0180581010871043,0.00291126761219479,0.00387937822098471,0.00610518671864462,0.0134871722673063,0.0115844026820961,4.54369237974286e-05,0.00640658209871355,1.97743145190179e-05,0.00127446051743989
"Time_10",0.000143866413555294,0.219719134903525,0.156470833434905,0.0907138365343024,0.205141798532601,0.0723192117517474,0.256988629241556,0.00123712470856479,0.00408246308730519,0.175652245058484,0.118133299749546,0.0250195476750551,0.06386459439814,0.00190564862231559,0.0480797416416849,0.0633493764223602,0.0124981112698784,0.023199089357184,0.0472969241147098,0.0358039802331418,0.0138779452713364,0.00187055002592687,0.016550342088622,0.012518911282905,0.00774436998918711,0.0069781385366431,0.0147152213118392,0.0093188363100841,0.00200516431830437,0.0172289348148502,0.00687242766323344,0.0200458923568678,0.0141851247324805,0.0151703987482001,0.00975099470416105,0.00245918373003027,0.000130596557082981,0.00288180682995404,4.38427764937282e-05,0.00651269522892803
