stn,region_name,sea,year,period,date,lat,lon,플라스틱류_N,종이_N,스티로폼_N,목재_N,금속_N,천연 섬유_N,유리_N,고무_N,의료 및 개인위생_N,흡연_불꽃놀이_N,외국기인_N,기타_혼합재질_N,계_N,플라스틱류_KG,종이_KG,스티로폼_KG,목재_KG,금속_KG,천연 섬유_KG,유리_KG,고무_KG,의료 및 개인위생_KG,흡연_불꽃놀이_KG,외국기인_KG,기타_혼합재질_KG,계_KG,플라스틱류_N,종이_N,스티로폼_N,목재_N,금속_N,천연 섬유_N,유리_N,고무_N,의료 및 개인위생_N,흡연_불꽃놀이_N,외국기인_N,기타_혼합재질_N,계_N,플라스틱류_KG,종이_KG,스티로폼_KG,목재_KG,금속_KG,천연 섬유_KG,유리_KG,고무_KG,의료 및 개인위생_KG,흡연_불꽃놀이_KG,외국기인_KG,기타_혼합재질_KG,계_KG
S01A,강화 여차리갯벌,서해,2008,2,08-Feb,37.61164,126.37594,1417,9,67,23,11,11,82,3,1,12,3,2,1630,97.4,1.4,1.6,24.4,11.2,2.4,12.5,2.5,1,1.2,1.1,1.4,147.1,3.15,0.95,1.83,1.36,1.04,1.04,1.91,0.48,0,1.08,0.48,0.3,3.21,1.99,0.15,0.2,1.39,1.05,0.38,1.1,0.4,0,0.08,0.04,0.15,2.17
S01A,강화 여차리갯벌,서해,2008,3,08-Mar,37.61164,126.37594,659,5,99,21,9,22,104,7,2,1,2,21,941,58.99,1.2,40.2,20,4.2,8.2,9.5,3.7,1.01,1,1.01,4.2,142.21,2.82,0.7,2,1.32,0.95,1.34,2.02,0.85,0.3,0,0.3,1.32,2.97,1.77,0.08,1.6,1.3,0.62,0.91,0.98,0.57,0,0,0,0.62,2.15
S01A,강화 여차리갯벌,서해,2008,4,08-Apr,37.61164,126.37594,173,24,133,1,13,3,14,3,1,3,1,1,359,15.45,1.2,4.3,1,2.88,1.9,3.8,2.35,1,1.01,1,1,25.89,2.24,1.38,2.12,0,1.11,0.48,1.15,0.48,0,0.48,0,0,2.56,1.19,0.08,0.63,0,0.46,0.28,0.58,0.37,0,0,0,0,1.41
S01A,강화 여차리갯벌,서해,2008,5,08-May,37.61164,126.37594,245,11,99,7,6,9,40,6,1,1,1,1,416,17.6,1.2,2.7,15.66,2.05,2.1,3.2,5.3,1,1,1,1,42.81,2.39,1.04,2,0.85,0.78,0.95,1.6,0.78,0,0,0,0,2.62,1.25,0.08,0.43,1.19,0.31,0.32,0.51,0.72,0,0,0,0,1.63
S01A,강화 여차리갯벌,서해,2008,6,08-Jun,37.61164,126.37594,206,2,31,3,10,20,101,1,1,1,1,2,368,8.56,1.1,1.6,5.7,1.5,2.22,4,1,1,1,1,2.4,20.08,2.31,0.3,1.49,0.48,1,1.3,2,0,0,0,0,0.3,2.57,0.93,0.04,0.2,0.76,0.18,0.35,0.6,0,0,0,0,0.38,1.3
S01A,강화 여차리갯벌,서해,2009,1,09-Jan,37.61164,126.37594,245,1,36,2,6,27,62,4,1,1,1,1,376,12.3,1,4.5,6.9,1.2,3.4,4.5,1.3,1,1,1,1,28.1,2.39,0,1.56,0.3,0.78,1.43,1.79,0.6,0,0,0,0,2.58,1.09,0,0.65,0.84,0.08,0.53,0.65,0.11,0,0,0,0,1.45
S01A,강화 여차리갯벌,서해,2009,2,09-Feb,37.61164,126.37594,1250,5,48,7,6,38,188,15,1,1,4,2,1554,25.2,1.1,4.9,11.5,1.4,4.6,9.7,4.6,1,1,1.1,7.2,62.3,3.1,0.7,1.68,0.85,0.78,1.58,2.27,1.18,0,0,0.6,0.3,3.19,1.4,0.04,0.69,1.06,0.15,0.66,0.99,0.66,0,0,0.04,0.86,1.79
S01A,강화 여차리갯벌,서해,2009,3,09-Mar,37.61164,126.37594,621,11,66,28,16,9,104,4,1,6,1,4,860,9.9,1.5,8.9,12.5,2.3,1.6,5.5,1.4,1,1.1,1,22.6,58.3,2.79,1.04,1.82,1.45,1.2,0.95,2.02,0.6,0,0.78,0,0.6,2.93,1,0.18,0.95,1.1,0.36,0.2,0.74,0.15,0,0.04,0,1.35,1.77
S01A,강화 여차리갯벌,서해,2009,4,09-Apr,37.61164,126.37594,151,1,55,12,9,13,110,6,1,3,1,10,361,14.5,1,8.5,16.2,1.1,4,5,1.9,1,1.1,1,2,46.3,2.18,0,1.74,1.08,0.95,1.11,2.04,0.78,0,0.48,0,1,2.56,1.16,0,0.93,1.21,0.04,0.6,0.7,0.28,0,0.04,0,0.3,1.67
S01A,강화 여차리갯벌,서해,2009,5,09-May,37.61164,126.37594,150,2,92,13,5,7,133,7,1,7,1,3,410,13.2,1.1,2.6,13.6,1.4,2.7,5.7,1.9,1,1.5,1,17,51.7,2.18,0.3,1.96,1.11,0.7,0.85,2.12,0.85,0,0.85,0,0.48,2.61,1.12,0.04,0.41,1.13,0.15,0.43,0.76,0.28,0,0.18,0,1.23,1.71
