station,date_time,wind_speed,wind_direction,sig_wave_height,wave_direction
21229,2021-01-01 0:00,11.1,302,2.7,341
21229,2021-01-01 1:00,12.4,309,3,355
21229,2021-01-01 2:00,13.9,311,2.7,342
21229,2021-01-01 3:00,12.6,310,3.1,342
21229,2021-01-01 4:00,10.6,300,2.9,343
21229,2021-01-01 5:00,12,307,3.1,350
21229,2021-01-01 6:00,12.7,305,3.4,339
21229,2021-01-01 7:00,12.7,310,3.8,329
21229,2021-01-01 8:00,12.9,318,3.1,340
21229,2021-01-01 9:00,11.4,308,3.6,331
21229,2021-01-01 10:00,8.8,298,3.2,326
21229,2021-01-01 11:00,6.7,297,3.1,345
21229,2021-01-01 12:00,7.8,310,2.8,319
21229,2021-01-01 13:00,7.2,302,2.6,340
21229,2021-01-01 14:00,6.1,308,2.4,334
21229,2021-01-01 15:00,4.2,294,2.4,342
21229,2021-01-01 16:00,7,295,2,348
21229,2021-01-01 17:00,7.9,284,2.5,349
21229,2021-01-01 18:00,6.5,287,2.4,359
21229,2021-01-01 19:00,4.9,229,2.1,18
21229,2021-01-01 20:00,5.8,268,1.9,351
21229,2021-01-01 21:00,4.6,283,2,350
21229,2021-01-01 22:00,9.5,298,2,346
21229,2021-01-01 23:00,7.9,307,2.1,359
21229,2021-01-02 0:00,8.9,296,2.1,13
21229,2021-01-02 1:00,8.9,302,2.2,341
21229,2021-01-02 2:00,9.3,320,3,280
21229,2021-01-02 3:00,10,318,2.2,348
21229,2021-01-02 4:00,11,319,2.3,348
21229,2021-01-02 5:00,8.9,318,2.4,8
21229,2021-01-02 6:00,8.4,314,2.2,347
21229,2021-01-02 7:00,10.3,331,2.4,338
21229,2021-01-02 8:00,9.5,308,2.2,341
21229,2021-01-02 9:00,8.9,312,2.3,348
21229,2021-01-02 10:00,6.4,294,2.1,353
21229,2021-01-02 11:00,7.6,319,2.2,348
21229,2021-01-02 12:00,6.1,297,2.2,3
21229,2021-01-02 13:00,8.2,306,2.2,10
21229,2021-01-02 14:00,7.8,322,2.5,7
21229,2021-01-02 15:00,7.1,305,2.8,9
21229,2021-01-02 16:00,9,287,2.8,358
21229,2021-01-02 17:00,10.1,58,2.9,13
21229,2021-01-02 18:00,8.2,45,2.6,28
21229,2021-01-02 19:00,6.4,47,2.8,9
21229,2021-01-02 20:00,2.7,352,2.2,21
21229,2021-01-02 21:00,7.9,318,2.3,360
21229,2021-01-02 22:00,8.4,308,2.2,359
21229,2021-01-02 23:00,6,299,2.3,15
21229,2021-01-03 0:00,5.6,313,2.2,352
21229,2021-01-03 1:00,6.3,305,2.1,341
21229,2021-01-03 2:00,6.1,300,2.2,5
21229,2021-01-03 3:00,7,302,2.3,5
21229,2021-01-03 4:00,7.3,297,2.3,11
21229,2021-01-03 5:00,8.7,317,2.1,7
21229,2021-01-03 6:00,7.1,307,1.8,22
21229,2021-01-03 7:00,8,295,2,24
21229,2021-01-03 8:00,7.6,294,1.8,356
21229,2021-01-03 9:00,7.6,316,2.2,333
21229,2021-01-03 10:00,6.7,315,2.2,28
21229,2021-01-03 11:00,7.3,288,2.2,301
21229,2021-01-03 12:00,7.2,302,2.1,326
21229,2021-01-03 13:00,6.3,323,2.5,299
21229,2021-01-03 14:00,7.3,305,2.2,226
21229,2021-01-03 15:00,6.9,312,2.1,27
21229,2021-01-03 16:00,7.7,299,1.9,345
21229,2021-01-03 17:00,6.7,292,2,297
21229,2021-01-03 18:00,8.8,316,1.9,300
21229,2021-01-03 19:00,7.9,308,2,349
21229,2021-01-03 20:00,5.4,278,1.7,330
21229,2021-01-03 21:00,6,300,1.8,340
21229,2021-01-03 22:00,6.9,296,1.9,347
21229,2021-01-03 23:00,6.6,300,1.9,2
21229,2021-01-04 0:00,7.2,286,2,342
21229,2021-01-04 1:00,6.5,306,2.1,15
21229,2021-01-04 3:00,8.9,306,2,9
21229,2021-01-04 4:00,6.9,302,2.1,18
21229,2021-01-04 5:00,8.3,318,2,7
21229,2021-01-04 6:00,7.6,313,2,358
21229,2021-01-04 7:00,6,294,2,12
21229,2021-01-04 8:00,7.3,331,2,6
21229,2021-01-04 9:00,8,328,2.1,10
21229,2021-01-04 10:00,5.5,317,1.8,6
21229,2021-01-04 11:00,4.5,314,1.8,341
21229,2021-01-04 12:00,5.3,321,1.6,6
21229,2021-01-04 13:00,3.9,320,1.5,13
21229,2021-01-04 14:00,6.5,289,1.5,343
21229,2021-01-04 15:00,6.6,287,1.5,346
21229,2021-01-04 16:00,5.5,291,1.5,348
21229,2021-01-04 17:00,4.3,304,1.3,9
21229,2021-01-04 18:00,4.6,315,1.3,11
21229,2021-01-04 19:00,4.8,331,1.2,17
21229,2021-01-04 20:00,3.8,300,1.3,15
21229,2021-01-04 21:00,3.1,288,1.2,21
21229,2021-01-04 22:00,1.6,312,1.3,39
21229,2021-01-04 23:00,1.5,246,1.2,17
21229,2021-01-05 0:00,3.8,212,1.4,9
21229,2021-01-05 1:00,3.2,195,1.2,32
21229,2021-01-05 2:00,2.9,232,1.1,354
21229,2021-01-05 3:00,8.3,289,1.2,12
21229,2021-01-05 4:00,7.3,297,1.3,4
21229,2021-01-05 5:00,9.1,325,1.5,40
21229,2021-01-05 6:00,9.5,319,1.6,224
21229,2021-01-05 7:00,8.7,324,1.7,333
21229,2021-01-05 8:00,9.7,330,1.8,343
