date,NH4,st,dep
1997-02,66.5,BS1,s
1997-05,42,BS1,s
1997-08,27,BS1,s
1997-11,24,BS1,s
1998-02,203,BS1,s
1998-05,68,BS1,s
1998-08,59,BS1,s
1998-11,50,BS1,s
1999-02,704,BS1,s
1999-05,50,BS1,s
1999-08,50,BS1,s
1999-11,2,BS1,s
2000-02,156,BS1,s
2000-05,561.33,BS1,s
2000-08,34.178,BS1,s
2000-11,40.227,BS1,s
2001-02,90.019,BS1,s
2001-05,170.617,BS1,s
2001-08,98,BS1,s
2001-11,34,BS1,s
2002-02,36,BS1,s
2002-05,14.295,BS1,s
2002-08,21.134,BS1,s
2002-11,24.454,BS1,s
2003-02,93.872,BS1,s
2003-05,11.662,BS1,s
2003-08,48.517,BS1,s
2003-11,22.12,BS1,s
2004-02,38.126,BS1,s
2004-05,1,BS1,s
2004-08,0,BS1,s
2004-11,41.147,BS1,s
2005-02,27.327,BS1,s
2005-05,97.908,BS1,s
2005-08,12,BS1,s
2005-11,35.658,BS1,s
2006-02,41.479,BS1,s
2006-05,10.536,BS1,s
2006-08,18.107,BS1,s
2006-11,19.014,BS1,s
2007-02,6.199,BS1,s
2007-05,18.832,BS1,s
2007-08,7.42,BS1,s
2007-11,17,BS1,s
2008-02,68,BS1,s
2008-05,35,BS1,s
2008-08,5,BS1,s
2008-11,5,BS1,s
2009-02,11.139,BS1,s
2009-05,38.258,BS1,s
2009-08,5.192,BS1,s
2009-11,8.456,BS1,s
2010-02,38.956,BS1,s
2010-05,12.704,BS1,s
2010-08,35.607,BS1,s
2010-11,22.061,BS1,s
2011-02,42,BS1,s
2011-05,25,BS1,s
2011-08,10,BS1,s
2011-11,38,BS1,s
2012-02,30,BS1,s
2012-05,5.6,BS1,s
2012-08,8.4,BS1,s
2012-11,2.4,BS1,s
2013-02,60.2,BS1,s
2013-05,8.3,BS1,s
2013-08,3.332,BS1,s
2013-11,15.064,BS1,s
2014-02,25.466,BS1,s
2014-05,21.588,BS1,s
2014-08,7.21,BS1,s
2014-11,25.82,BS1,s
1997-02,61.18,BS1,b
1997-05,22,BS1,b
1997-08,20,BS1,b
1997-11,42,BS1,b
1998-02,166,BS1,b
1998-05,66,BS1,b
1998-08,494,BS1,b
1998-11,26,BS1,b
1999-02,641,BS1,b
1999-05,32,BS1,b
1999-08,42,BS1,b
1999-11,2,BS1,b
2000-02,54,BS1,b
2000-05,138.054,BS1,b
2000-08,115.909,BS1,b
2000-11,36.722,BS1,b
2001-02,74.033,BS1,b
2001-05,128.907,BS1,b
2001-08,63,BS1,b
2001-11,27,BS1,b
2002-02,19,BS1,b
2002-05,20.941,BS1,b
2002-08,15.549,BS1,b
2002-11,26.537,BS1,b
2003-02,25.331,BS1,b
2003-05,11.457,BS1,b
2003-08,59.676,BS1,b
2003-11,24.36,BS1,b
2004-02,19.419,BS1,b
2004-05,0,BS1,b
2004-08,5,BS1,b
2004-11,25.063,BS1,b
2005-02,52.994,BS1,b
2005-05,28.135,BS1,b
2005-08,0,BS1,b
2005-11,27.478,BS1,b
2006-02,40.174,BS1,b
2006-05,19.323,BS1,b
2006-08,21.293,BS1,b
2006-11,19.367,BS1,b
2007-02,6.241,BS1,b
2007-05,12.069,BS1,b
2007-08,10.891,BS1,b
2007-11,13,BS1,b
2008-02,23,BS1,b
2008-05,50,BS1,b
2008-08,6,BS1,b
2008-11,5,BS1,b
2009-02,12.512,BS1,b
2009-05,12.294,BS1,b
2009-08,2.788,BS1,b
2009-11,7.952,BS1,b
2010-02,17.446,BS1,b
2010-05,9.624,BS1,b
2010-08,115.835,BS1,b
2010-11,3.629,BS1,b
2011-02,30,BS1,b
2011-05,21,BS1,b
2011-08,17,BS1,b
2011-11,43,BS1,b
2012-02,28.3,BS1,b
2012-05,6.8,BS1,b
2012-08,10.8,BS1,b
2012-11,5.9,BS1,b
2013-02,28.3,BS1,b
2013-05,8.8,BS1,b
2013-08,1.729,BS1,b
2013-11,10.262,BS1,b
2014-02,27.601,BS1,b
2014-05,8.596,BS1,b
2014-08,3.94,BS1,b
2014-11,5.92,BS1,b
1997-02,626.5,BS2,s
1997-05,70,BS2,s
1997-08,536,BS2,s
1997-11,305,BS2,s
1998-02,958,BS2,s
1998-05,755,BS2,s
1998-08,267,BS2,s
1998-11,348,BS2,s
1999-02,815,BS2,s
1999-05,65,BS2,s
1999-08,1220,BS2,s
1999-11,15,BS2,s
2000-02,14,BS2,s
2000-05,147.336,BS2,s
2000-08,465.122,BS2,s
2000-11,97.213,BS2,s
2001-02,116,BS2,s
2001-05,718.805,BS2,s
2001-08,476.9,BS2,s
