date,air_temperature,sunshine_duration,wind_speed,relative_humidity,vapor_pressure,atmospheric_pressure,sea_level_pressure
2010-01-01,-1.4,8.8,1.8,54.3,3,1017.1,1021
2010-01-02,4,4.8,1.8,69,5.8,1012.3,1016.1
2010-01-03,1.5,8.6,2.2,46.4,3.1,1015.2,1019.1
2010-01-04,3.4,2.8,3.7,68.5,5.6,1008.2,1012.1
2010-01-05,-0.8,6.2,3.5,52.5,3.1,1015.5,1019.4
2010-01-06,-1.9,9,2.5,50.6,2.7,1018.4,1022.3
2010-01-07,-1.7,9,3.2,51,2.7,1019,1022.9
2010-01-08,-1.1,9,2.1,54.3,3,1018.1,1022
2010-01-09,1.2,5.8,1.5,55.1,3.6,1020.1,1024
2010-01-10,2.5,0,1.8,63,4.6,1020.8,1024.7
2010-01-11,2.6,5.9,2.4,54.5,4,1016.6,1020.4
2010-01-12,-0.7,5.6,3.4,42,2.4,1013.9,1017.9
2010-01-13,-3.4,8.9,3.5,45.5,2.2,1017.5,1021.5
2010-01-14,-1.7,9.2,1.8,56.8,3,1023.6,1027.6
2010-01-15,2.2,8.5,1.6,62.1,4.5,1024.5,1028.4
2010-01-16,1,9.3,1.6,57.8,3.7,1027.1,1031
2010-01-17,2,9.4,1.3,47.8,3.2,1027.3,1031.2
2010-01-18,3.8,9.1,0.8,52.8,4.1,1025.9,1029.8
2010-01-19,7.5,8.1,1.4,68.1,7.3,1024.6,1028.5
2010-01-20,13.5,0,4.5,96,14.8,1014,1017.7
2010-01-21,7.3,5.5,3.4,61.8,6.8,1014,1017.8
2010-01-22,0.9,8.8,3.2,42.8,2.7,1020.7,1024.6
2010-01-23,0.3,9.1,3.3,54.4,3.4,1020.8,1024.7
2010-01-24,2.4,9.3,1.9,58.3,4.3,1019.3,1023.1
2010-01-25,4.8,8.8,4.1,47.3,4.2,1018.1,1022
2010-01-26,1.2,9.7,1.9,43.5,2.9,1025.1,1029
2010-01-27,6.3,3.8,2.4,80.6,8.3,1015.2,1019
2010-01-28,7.2,9,2.7,65.3,6.6,1013.1,1016.9
2010-01-29,3.9,9.3,2.6,52.9,4.2,1019,1022.9
2010-01-30,3.6,6.9,1.3,62.5,5,1018.9,1022.7
2010-01-31,6.6,3.6,2.3,66,6.3,1015.4,1019.2
2010-02-01,5.2,0.3,3,71,6.3,1011.2,1015
