station,date,sunshine_duration,solar_radiation
155,2010-01-01,8.9,
155,2010-01-02,1.4,
155,2010-01-03,8.8,
155,2010-01-04,2.2,
155,2010-01-05,8.1,
155,2010-01-06,8.9,
155,2010-01-07,9,
155,2010-01-08,8.9,
155,2010-01-09,4.5,
155,2010-01-10,0,
155,2010-01-11,6.3,
155,2010-01-12,5.2,
155,2010-01-13,8.8,
155,2010-01-14,9,
155,2010-01-15,7.1,
155,2010-01-16,9.1,
155,2010-01-17,9.1,
155,2010-01-18,8.5,
155,2010-01-19,6.3,
155,2010-01-20,0,
155,2010-01-21,6.6,
155,2010-01-22,9,
155,2010-01-23,8.7,
155,2010-01-24,9.2,
155,2010-01-25,8.6,
155,2010-01-26,9.5,
155,2010-01-27,3.7,
155,2010-01-28,9.1,
155,2010-01-29,9.5,
155,2010-01-30,5.7,
155,2010-01-31,3.9,
155,2010-02-01,1.2,
155,2010-02-02,7.4,
155,2010-02-03,9.7,
155,2010-02-04,8.9,
155,2010-02-05,9.2,
155,2010-02-06,9.8,
155,2010-02-07,6.6,
155,2010-02-08,0,
155,2010-02-09,0,
155,2010-02-10,0,
155,2010-02-11,0,
155,2010-02-12,0,
155,2010-02-13,2.3,
155,2010-02-14,0.2,
155,2010-02-15,7.2,
155,2010-02-16,8.2,
155,2010-02-17,5.4,
155,2010-02-18,10,
155,2010-02-19,9.2,
155,2010-02-20,10.1,
155,2010-02-21,2.7,
155,2010-02-22,8.8,
155,2010-02-23,9.8,
155,2010-02-24,3.6,
155,2010-02-25,0,
155,2010-02-26,0,
155,2010-02-27,0,
155,2010-02-28,10.1,
155,2010-03-01,0,
155,2010-03-02,0.3,
155,2010-03-03,4.2,
155,2010-03-04,0,
155,2010-03-05,0,
155,2010-03-06,0,
155,2010-03-07,0,
155,2010-03-08,2.3,
155,2010-03-09,0.7,
155,2010-03-10,4.9,
155,2010-03-11,10.9,
155,2010-03-12,0.4,
155,2010-03-13,6.9,
155,2010-03-14,0,
155,2010-03-15,0.5,
155,2010-03-16,9.6,
155,2010-03-17,8.7,
155,2010-03-18,5.7,
155,2010-03-19,9.8,
155,2010-03-20,2.4,
155,2010-03-21,10.9,
155,2010-03-22,1.5,
155,2010-03-23,0.2,
155,2010-03-24,0.5,
155,2010-03-25,0.2,
155,2010-03-26,11.3,
155,2010-03-27,3.1,
155,2010-03-28,7.5,
155,2010-03-29,11.5,
155,2010-03-30,4.1,
155,2010-03-31,0,
155,2010-04-01,0,
155,2010-04-02,9.8,
155,2010-04-03,11.6,
155,2010-04-04,11.5,
155,2010-04-05,7.2,
155,2010-04-06,6.5,
155,2010-04-07,5.6,
155,2010-04-08,10.5,
155,2010-04-09,2.7,
155,2010-04-10,2.3,
155,2010-04-11,0.6,
155,2010-04-12,0.2,
155,2010-04-13,8.9,
155,2010-04-14,3,
155,2010-04-15,3.6,
155,2010-04-16,7.7,
155,2010-04-17,11.3,
155,2010-04-18,0,
155,2010-04-19,0,
155,2010-04-20,4.8,
155,2010-04-21,0.3,
155,2010-04-22,0,
155,2010-04-23,4.6,
155,2010-04-24,11.8,
155,2010-04-25,11,
155,2010-04-26,0,
155,2010-04-27,9.6,
155,2010-04-28,0.9,
155,2010-04-29,10.9,
155,2010-04-30,8.4,
155,2010-05-01,12.5,
155,2010-05-02,12.1,
155,2010-05-03,9.6,
155,2010-05-04,9.1,
155,2010-05-05,3.2,
155,2010-05-06,0,
155,2010-05-07,11.7,
155,2010-05-08,11.2,
155,2010-05-09,2.9,
155,2010-05-10,1.2,
155,2010-05-11,9.8,
155,2010-05-12,11.7,
155,2010-05-13,6.5,
155,2010-05-14,12.1,
155,2010-05-15,4.7,
155,2010-05-16,12.2,
155,2010-05-17,9.1,
155,2010-05-18,0,
155,2010-05-19,2.8,
155,2010-05-20,10.4,
155,2010-05-21,11.2,
155,2010-05-22,0,
155,2010-05-23,0,
155,2010-05-24,2.8,
155,2010-05-25,1.1,
155,2010-05-26,4.9,
155,2010-05-27,10.6,
155,2010-05-28,0.3,
155,2010-05-29,10.6,
155,2010-05-30,12.8,
155,2010-05-31,5.5,
155,2010-06-01,5.9,
155,2010-06-02,12.8,
155,2010-06-03,12.8,
155,2010-06-04,10.6,
155,2010-06-05,11.1,
155,2010-06-06,8.1,
155,2010-06-07,10,
155,2010-06-08,6.1,
155,2010-06-09,13.1,
155,2010-06-10,10.4,
155,2010-06-11,9.8,
155,2010-06-12,0,
155,2010-06-13,0.6,
155,2010-06-14,11.4,
155,2010-06-15,7.5,
155,2010-06-16,10.3,
155,2010-06-17,8.5,
155,2010-06-18,0,
155,2010-06-19,3,
155,2010-06-20,0.3,
155,2010-06-21,8.4,
155,2010-06-22,7.1,
155,2010-06-23,5.9,
155,2010-06-24,11,
155,2010-06-25,0,
155,2010-06-26,0,
155,2010-06-27,0,
155,2010-06-28,0,
155,2010-06-29,3,
155,2010-06-30,3.9,
155,2010-07-01,0,
155,2010-07-02,0,
155,2010-07-03,1.8,
155,2010-07-04,0,
155,2010-07-05,1.4,
155,2010-07-06,8.1,
155,2010-07-07,8.8,
155,2010-07-08,2.2,
155,2010-07-09,7.6,
155,2010-07-10,4,
155,2010-07-11,0,
155,2010-07-12,0,
155,2010-07-13,0,
155,2010-07-14,0.6,
155,2010-07-15,6.2,
155,2010-07-16,0,
155,2010-07-17,0.5,
155,2010-07-18,5.8,
155,2010-07-19,4.1,
155,2010-07-20,9.4,
155,2010-07-21,5.6,
155,2010-07-22,8.1,
155,2010-07-23,4.6,
155,2010-07-24,3.1,
155,2010-07-25,6.9,
155,2010-07-26,5.6,
155,2010-07-27,9.1,
155,2010-07-28,0,
155,2010-07-29,1,
155,2010-07-30,6.1,
155,2010-07-31,3.6,
155,2010-08-01,8.6,
155,2010-08-02,7.9,
155,2010-08-03,4.4,
155,2010-08-04,10,
155,2010-08-05,6.8,
155,2010-08-06,9.5,
155,2010-08-07,9,
155,2010-08-08,11.7,
155,2010-08-09,9.9,
155,2010-08-10,0.8,
155,2010-08-11,0.1,
155,2010-08-12,11.2,
155,2010-08-13,0.4,
155,2010-08-14,0,
155,2010-08-15,0,
155,2010-08-16,2.9,
155,2010-08-17,0.6,
155,2010-08-18,11.3,
155,2010-08-19,7.7,
155,2010-08-20,11.5,
155,2010-08-21,11.6,
155,2010-08-22,11.8,
