지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),평균 풍속(m/s),최대 순간 풍속 풍향(deg)
545,2017-01-01,2.6,-4.1,605,10.2,1517,0,4.1,.7,215.5
545,2017-01-02,5.1,0,2357,9.9,1330,0,6.7,1.6,281.4
545,2017-01-03,.5,-4.7,716,8.3,1431,0,5.9,.9,254.3
545,2017-01-04,2,-2.9,2338,9.1,1339,0,6.3,1.1,298.1
545,2017-01-05,3.7,-3.4,111,8.9,1413,0,6.2,1.2,101.8
545,2017-01-06,5.2,-1.7,2356,11.5,1350,0,6.2,1.6,91.4
545,2017-01-07,2.1,-3.3,626,9.8,1350,0,3.9,.7,268.4
545,2017-01-08,5.4,-1.5,754,12.1,1122,0,7,1.3,257.3
545,2017-01-09,3,-2.9,2314,5.6,1427,0,8.6,2.9,248
545,2017-01-10,-2.1,-7.3,733,3,1350,0,10,2.3,303.9
545,2017-01-11,-3.4,-10.8,700,3.1,1510,0,8,1.2,267.2
545,2017-01-12,0,-4.8,2351,3.3,1442,0,9.7,2,286.9
545,2017-01-13,-5.2,-9.3,431,0,1340,0,10.5,1.8,304.1
545,2017-01-14,-6.2,-8.4,718,-3,1441,0,10.4,2.3,300.4
545,2017-01-15,-6.9,-13.3,733,-.3,1410,0,6.5,1.2,287
545,2017-01-16,-5.6,-12.9,630,3.5,1507,0,4.1,.7,277.5
545,2017-01-17,-3.6,-10.9,605,4.1,1327,0,4.7,.6,256.5
545,2017-01-18,-2.1,-6.4,642,4.4,1222,0,3.7,.6,247.9
545,2017-01-19,-2.4,-8.1,822,5.2,1455,0,6.2,.7,274.9
545,2017-01-20,-3.7,-11.4,2344,-1,1424,3,9.3,2.5,297
545,2017-01-21,-5.6,-14.7,510,.6,1322,.5,12.3,1,266.6
545,2017-01-22,-6.3,-9,2358,-1.1,11,0,11.6,2.8,306.7
545,2017-01-23,-8.3,-15,800,-3.5,1534,0,7.2,1.3,278.9
545,2017-01-24,-9.2,-17,628,-1.2,1420,0,5.5,1,248.5
545,2017-01-25,-8.1,-16.4,638,1.5,1409,0,6.5,.9,291.6
545,2017-01-26,-2,-12.6,509,4.6,2323,0,8.6,1.1,205.2
545,2017-01-27,-1.9,-7.5,2329,4.4,1,3,11.1,2.9,297.1
545,2017-01-28,-2.4,-10.8,639,4.8,1504,0,4.2,.5,96.5
545,2017-01-29,1.3,-.4,16,3.2,1044,4,5.9,.8,206
545,2017-01-30,-4.2,-10.1,2346,.4,1,0,9,2.6,302
545,2017-01-31,-6.3,-12.3,718,-.1,1239,0,5.9,.9,241.6
545,2017-02-01,-3.4,-9,154,1.6,1325,0,9.5,2,271.4
545,2017-02-02,-2.3,-11.5,723,4.2,1537,0,6.8,1.5,284.4
545,2017-02-03,.5,-4.7,748,6.5,1405,0,5.6,.9,257.3
545,2017-02-04,.5,-6,719,5.2,1548,0,3.2,.5,90.5
545,2017-02-05,1.4,-.8,2109,3.6,910,.5,8.1,1.6,290.8
545,2017-02-06,-.4,-4,2324,2.8,1541,0,8.7,2.6,292
545,2017-02-07,-2.5,-7.8,551,3.6,1341,0,6.1,.7,263.9
545,2017-02-08,-2.1,-7.4,558,2,1148,0,6.7,1.4,308.3
545,2017-02-09,-3.2,-4.8,736,-.7,1230,0,11.4,3.9,290.6
545,2017-02-10,-4.5,-6.8,700,-1.6,1510,0,11.7,3.9,256.5
545,2017-02-11,-3.3,-8,314,.7,1539,0,10.7,2.5,291
