지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),평균 풍속(m/s),최대 순간 풍속 풍향(deg)
942,2017-01-01,7.1,3.2,702,11.3,1453,0,6.3,1.5,261.6
942,2017-01-02,9.9,6.6,702,14,1502,0,6.8,1.9,306.6
942,2017-01-03,8.6,5.4,803,12.2,1530,0,6.5,1.6,275.6
942,2017-01-04,8.7,4.8,755,13,1427,0,6.5,1.2,300.9
942,2017-01-05,8.3,6.9,2249,10.9,1124,2.5,8.6,2.1,61.9
942,2017-01-06,8.1,6.6,2324,10.5,1220,0,8.3,2,84.4
942,2017-01-07,9.2,4.5,629,11.8,1148,0,6.2,1.3,22.5
942,2017-01-08,10.1,8.1,511,12.6,1513,4.5,6.5,1.5,14.1
942,2017-01-09,8.7,5.8,2350,11.5,1459,0,11.1,2.2,278.4
942,2017-01-10,4.9,3.2,739,8.1,1519,0,10.3,1.8,326.3
942,2017-01-11,2,-1.3,827,4.7,1452,0,10.9,2.5,281.3
942,2017-01-12,4.6,.7,512,8.2,1529,0,9.7,2.5,247.5
942,2017-01-13,2.4,-.7,743,6.4,1455,0,10.2,2.4,329.1
942,2017-01-14,-1.4,-4.7,2357,2.4,1421,0,15.1,3.6,340.3
942,2017-01-15,-.2,-6,530,4.6,1537,0,10.6,2.6,309.4
942,2017-01-16,2.4,-2.3,743,7.8,1605,0,9.5,1.4,331.9
942,2017-01-17,4.6,0,625,9,1229,0,4.9,.7,329.1
942,2017-01-18,6.1,3,713,9.6,1324,0,5.8,1.2,357.2
942,2017-01-19,5.6,1.2,550,9.8,1254,0,3.7,.9,298.1
942,2017-01-20,2.7,-.5,2332,5.7,2,0,13,3,334.7
942,2017-01-21,1,-2.5,747,4,1321,0,9.8,2,261.6
942,2017-01-22,1,-2.7,0,3.8,1550,0,9.3,2.5,250.3
942,2017-01-23,-1.7,-4.8,740,2.6,1514,0,13,3.2,275.6
942,2017-01-24,.2,-3.3,716,4.6,1435,0,12,2.3,289.7
942,2017-01-25,2.3,-2.7,654,7.6,1429,0,5.7,1.5,334.7
942,2017-01-26,4,-2,637,8.3,1351,0,7.9,2.1,261.6
942,2017-01-27,8.1,3.9,2342,11.9,1558,0,11.4,2.7,174.4
942,2017-01-28,6.6,.6,722,11.3,1450,0,6.1,.9,286.9
942,2017-01-29,8.5,7.3,101,9.7,2242,5.5,3.9,.5,19.7
942,2017-01-30,4.5,.5,2352,9.6,1,.5,10.8,2.2,50.6
942,2017-01-31,3.7,-1.3,721,8.3,1607,0,5.8,1.2,275.6
942,2017-02-01,3.6,.9,428,8.2,1521,0,9.8,2.4,337.5
942,2017-02-02,4.5,-.8,651,10.6,1516,0,9.8,2.4,298.1
942,2017-02-03,6.5,1.1,740,11.5,1452,0,7.3,1.9,286.9
942,2017-02-04,10,5.8,416,14.8,1316,0,6.7,1.4,213.8
942,2017-02-05,8.2,5.4,2357,12.1,1124,7,9.6,1.8,230.6
942,2017-02-06,4.9,2.4,724,8.9,1617,0,9.8,2.3,326.3
942,2017-02-07,5.3,1.2,404,8.9,1441,0,5.1,.9,340.3
942,2017-02-08,6.8,3.7,238,9.9,1351,0,7.4,1.2,191.3
942,2017-02-09,1.8,-1.7,2352,5.4,1421,0,13.1,3.2,295.3
942,2017-02-10,-.9,-4,646,2.5,1608,0,13.6,3,281.3
942,2017-02-11,.1,-4.2,606,5.3,1555,0,11.3,2.9,337.5
942,2017-02-12,3.1,-1.2,246,8,1607,0,8.2,2,22.5
942,2017-02-13,5.5,1.1,521,9.7,1616,0,8,2,289.7
942,2017-02-14,5.9,3.1,719,9.5,1439,0,6.3,1,289.7
942,2017-02-15,,,,,,0,,,
942,2017-02-16,12.1,6.8,651,15.9,1600,3,10,2.8,239.1
942,2017-02-17,13,6.9,2356,17.1,1419,3,9.1,2.9,230.6
942,2017-02-18,5.3,3,2356,8.7,1448,0,10.4,2.8,351.6
942,2017-02-19,7.2,.8,549,13.7,2356,0,14.8,2.9,253.1
942,2017-02-20,10.2,2.8,2359,15.1,435,.5,17.1,3.5,264.4
942,2017-02-21,5.8,1.4,230,8.9,1413,0,7.7,1.9,123.8
942,2017-02-22,9,7.1,45,11.5,1809,24.5,6.9,1.3,261.6
942,2017-02-23,6.3,2.2,2355,9.8,1309,0,11.1,3,270
942,2017-02-24,4,-.3,709,8.1,1606,0,9.4,2,264.4
