지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),평균 풍속(m/s),최대 순간 풍속 풍향(deg)
702,2017-01-01,3,-2.2,800,10.8,1431,0,3.3,.6,281.3
702,2017-01-02,4.2,-2,341,11,1501,0,4.5,.6,230.6
702,2017-01-03,.9,-3.6,529,8.8,1547,0,3.2,.6,275.6
702,2017-01-04,2.6,-2,256,9.8,1452,0,4.1,.7,343.1
702,2017-01-05,,,,,,0,,,
702,2017-01-06,,,,,,0,,,
702,2017-01-07,4.1,-3,632,9.4,1526,0,4.6,.9,0
702,2017-01-08,8.2,4.4,327,13.7,1218,0,5.6,1.8,289.7
702,2017-01-09,4.1,-3.2,2332,8.7,1334,0,6.8,2.1,253.1
702,2017-01-10,.2,-4.8,343,6,1344,0,7,1.5,281.3
702,2017-01-11,-2.6,-8.5,737,2.5,1304,0,5.4,1.2,253.1
702,2017-01-12,.8,-5.4,2358,8,1250,0,7.8,1.5,284.1
702,2017-01-13,-2.8,-8.1,511,3.3,1430,.9,9,1.6,337.5
702,2017-01-14,-4.3,-7.5,2357,-1.4,1350,0,7.8,2.7,320.6
702,2017-01-15,-5.6,-12.5,706,1.2,1503,0,5.6,1.1,354.4
702,2017-01-16,-4.1,-11.1,751,3.7,1531,0,5.8,1,343.1
702,2017-01-17,-3.6,-9.7,525,5.3,1436,0,3.1,.5,5.6
702,2017-01-18,-.7,-6.8,102,5.6,1245,0,4.6,.7,11.3
702,2017-01-19,-.9,-7.3,532,6.5,1445,0,5.7,1.2,295.3
702,2017-01-20,-1.9,-8.9,2303,1.1,518,3.4,10.7,2.6,295.3
702,2017-01-21,-1.9,-9.6,44,3.2,1401,5.7,5.3,1.1,286.9
702,2017-01-22,-3.3,-6.9,2327,-.1,125,.1,7.6,2.3,337.5
702,2017-01-23,-6.1,-12.1,752,-.3,1508,0,6,1.4,244.7
702,2017-01-24,-5.2,-12.5,657,1.7,1620,0,4.7,.9,320.6
702,2017-01-25,-4.2,-11.6,727,2.2,1516,0,4.9,1.1,47.8
702,2017-01-26,-1.5,-10.7,632,6.7,1451,0,5.3,.8,160.3
702,2017-01-27,1.5,-2.8,2200,5.1,334,1.2,8.5,2.1,272.8
702,2017-01-28,1.1,-7.2,753,8.7,1442,0,5.4,1.4,343.1
702,2017-01-29,3.3,.9,2358,6.2,1415,6.4,5.8,1.9,345.9
702,2017-01-30,-1.2,-7.2,2359,2.1,1503,.6,8.5,2.6,289.7
702,2017-01-31,-3,-8.8,508,2.5,1454,0,5.5,1.5,331.9
702,2017-02-01,-1.4,-5.8,2354,5.4,1423,0,7.4,1.9,306.6
702,2017-02-02,-1.9,-9.3,726,4.6,1518,0,5.3,1.2,208.1
702,2017-02-03,.9,-5.6,745,7.5,1555,0,5,1,348.8
702,2017-02-04,3.8,-3.1,58,8.9,1459,0,4.9,1.1,163.1
702,2017-02-05,3.6,-1.6,2312,6.1,1009,.8,7.8,1.6,126.6
702,2017-02-06,.6,-4.2,2257,4.6,1444,0,6.4,2.1,126.6
702,2017-02-07,-.6,-5.9,657,6.5,1545,0,4.8,1.2,149.1
702,2017-02-08,.2,-4.1,19,4.3,1320,0,6.3,1.3,115.3
702,2017-02-09,-2.2,-7,2349,2.1,1332,0,8.5,2.8,160.3
702,2017-02-10,-3.4,-7.7,26,.7,1325,0,8.4,2.4,171.6
702,2017-02-11,-2.1,-7.3,601,3.1,1407,0,7.4,1.8,92.8
702,2017-02-12,-.6,-6.2,724,5.8,1334,0,6.5,1.2,87.2
702,2017-02-13,.6,-7.3,546,7.4,1359,0,5.3,.9,28.1
702,2017-02-14,.8,-5.3,734,8.2,1501,0,5.5,1.4,73.1
